2023-10-28 21:10:20,249 - Child process 'my_process' with PID 2492 created.
2023-10-28 21:10:20,250 - Child process 'my_process' with PID 2475 running
2023-10-28 21:10:20,253 - Child process 'my_process' with PID 2492 encountered an error: [Errno 2] No such file or directory
2023-10-28 21:10:31,093 - Thread 'my_thread1' created successfully
2023-10-28 21:10:31,093 - Thread 'my_thread1' running
2023-10-28 21:10:37,782 - Thread 'my_thread2' created successfully
2023-10-28 21:10:37,782 - Thread 'my_thread2' running
2023-10-28 21:10:50,934 - Thread 'mn_thread' created successfully
2023-10-28 21:10:50,934 - Thread 'mn_thread' running
2023-10-28 21:10:56,882 - Thread 'my_thread' not found.
2023-10-28 21:11:05,479 - Thread 'my_thread1' terminated.
2023-10-28 21:11:20,013 - Processes created through your code:
2023-10-28 21:11:20,014 - Process with PID: 2492, Name: my_process, Parent PID: 2475, State: zombie
2023-10-28 21:11:23,898 - All processes on the computer:
2023-10-28 21:11:23,899 - Process with PID: 0, Parent PID: 0, Name: kernel_task, Status: running
2023-10-28 21:11:23,899 - Process with PID: 1, Parent PID: 0, Name: launchd, Status: running
2023-10-28 21:11:23,900 - Process with PID: 508, Parent PID: 1, Name: coresymbolicatio, Status: running
2023-10-28 21:11:23,900 - Process with PID: 527, Parent PID: 1, Name: logd, Status: running
2023-10-28 21:11:23,900 - Process with PID: 529, Parent PID: 1, Name: UserEventAgent, Status: running
2023-10-28 21:11:23,900 - Process with PID: 531, Parent PID: 1, Name: uninstalld, Status: running
2023-10-28 21:11:23,900 - Process with PID: 532, Parent PID: 1, Name: fseventsd, Status: running
2023-10-28 21:11:23,900 - Process with PID: 533, Parent PID: 1, Name: mediaremoted, Status: running
2023-10-28 21:11:23,900 - Process with PID: 536, Parent PID: 1, Name: systemstats, Status: running
2023-10-28 21:11:23,900 - Process with PID: 538, Parent PID: 1, Name: configd, Status: running
2023-10-28 21:11:23,901 - Process with PID: 540, Parent PID: 1, Name: powerd, Status: running
2023-10-28 21:11:23,901 - Process with PID: 545, Parent PID: 1, Name: remoted, Status: running
2023-10-28 21:11:23,901 - Process with PID: 550, Parent PID: 1, Name: watchdogd, Status: running
2023-10-28 21:11:23,901 - Process with PID: 554, Parent PID: 1, Name: mds, Status: running
